day_position,rankic_F,rankic_E,rankic_H,F_minus_E,E_minus_H,F_minus_H,year,phase,n
2680,0.1407321657645935,0.141289517519608,0.12559321401712456,-0.0005573517550145068,0.01569630350248344,0.015138951747468932,2018,3,1850
2685,0.25877612040251297,0.27979570728939757,0.2303600743486357,-0.0210195868868846,0.049435632940761864,0.028416046053877264,2018,0,1853
2690,0.18981219801151863,0.20092278036757588,0.15950472822867673,-0.011110582356057247,0.04141805213889915,0.030307469782841906,2018,1,1890
2695,0.2772929830001111,0.27183273123841856,0.25489855398712474,0.005460251761692569,0.016934177251293814,0.022394429012986383,2018,2,1896
2700,0.28365195209273186,0.2762843713502242,0.27881250796636803,0.007367580742507651,-0.002528136616143817,0.004839444126363834,2018,3,1890
2705,0.22198748719596534,0.20200986407999438,0.24762184059869777,0.019977623115970955,-0.045611976518703384,-0.02563435340273243,2018,0,1902
2710,0.22966095959227198,0.1920441838989247,0.1322674882100925,0.03761677569334729,0.059776695688832204,0.09739347138217949,2018,1,1931
2715,0.23769927324322787,0.171388875665847,0.11687205306933056,0.06631039757738086,0.054516822596516454,0.12082722017389731,2018,2,1952
2720,0.020481865486301563,-0.07079783721163585,-0.1618787075637465,0.09127970269793742,0.09108087035211065,0.18236057305004807,2018,3,1945
2725,0.0705216754919954,0.04884334687606346,-0.05259125502064609,0.021678328615931934,0.10143460189670955,0.1231129305126415,2018,0,1945
2730,0.032040104393352566,0.07933778196754578,0.0204811513658241,-0.04729767757419321,0.05885663060172168,0.011558953027528466,2018,1,1985
2735,0.08228712461038637,0.08776725106938313,0.05877674293493838,-0.005480126458996759,0.028990508134444752,0.023510381675447993,2018,2,2008
2740,0.0628472023412805,0.05702985220730481,0.04463214893200505,0.005817350133975684,0.012397703275299758,0.018215053409275442,2018,3,1993
2745,0.14717073605409986,0.1302274773866604,0.152627050013611,0.016943258667439454,-0.02239957262695058,-0.005456313959511128,2018,0,2000
2750,0.11645929519438705,0.10885928826613864,0.1144510813257513,0.007600006928248415,-0.00559179305961266,0.0020082138686357554,2018,1,2034
2755,0.07590452802565646,0.06280214853095797,0.07311501569887796,0.013102379494698488,-0.010312867167919987,0.002789512326778501,2018,2,2059
2760,0.04156275213943087,0.022073390423327923,0.01837271128687444,0.019489361716102948,0.0037006791364534823,0.02319004085255643,2018,3,2041
2765,0.0521025836557097,0.03106650970153986,0.038502292596289615,0.021036073954169843,-0.007435782894749755,0.013600291059420087,2018,0,2033
2770,0.0070544671700248345,-0.020896015124789624,-0.02019082072613886,0.027950482294814456,-0.0007051943986507644,0.027245287896163692,2018,1,2068
2775,0.09637722735516834,0.0789652343090777,0.0635614042844791,0.017411993046090632,0.015403830024598608,0.03281582307068924,2018,2,2095
2780,0.0818185042119576,0.07683400488995261,0.06704512983454756,0.0049844993220049955,0.009788875055405044,0.01477337437741004,2018,3,2083
2785,0.10733983462522496,0.11233347519592769,0.10508264316279152,-0.004993640570702729,0.007250832033136173,0.0022571914624334444,2018,0,2090
2790,0.19157624146214383,0.1843779060210139,0.20623940986843248,0.007198335441129938,-0.021861503847418584,-0.014663168406288646,2018,1,2132
2795,0.10092003041664036,0.14155484888658168,0.18803228006408562,-0.040634818469941325,-0.04647743117750394,-0.08711224964744527,2018,2,2166
2800,0.1609958082000053,0.17913964504981045,0.20550924335016624,-0.01814383684980514,-0.02636959830035579,-0.04451343515016093,2018,3,2157
