day_position,rankic_F,rankic_H,delta,phase,n
3165,0.04102215365671286,-0.014175126326846062,0.055197279983558924,0,3191
3170,0.024122869944412272,-0.04075437160877076,0.06487724155318303,1,3201
3175,0.0169747769230454,-0.07875393014738627,0.09572870707043167,2,3201
3180,0.33267330335105877,0.3081453881946259,0.024527915156432878,3,3217
3185,0.32607268819599844,0.280338841379871,0.045733846816127466,0,3232
3190,0.3042402482622514,0.2046189631478353,0.09962128511441609,1,3236
3195,0.3163259578663865,0.19791822819208738,0.11840772967429913,2,3253
3200,0.1501328451256879,0.11326956017611421,0.03686328494957368,3,3254
3205,0.08961411727308655,0.028151014023746118,0.06146310324934043,0,3248
3210,0.2844564625211399,0.2695610314176328,0.01489543110350705,1,3250
3215,0.2864574491624422,0.29532118283452286,-0.008863733672080654,2,3272
3220,0.25755664820227003,0.28393928722383555,-0.026382639021565513,3,3251
3225,0.02429476186247627,0.028666875093070737,-0.0043721132305944675,0,3266
3230,0.12562465080583918,0.12131105759839185,0.004313593207447328,1,3264
3235,0.20835869344694663,0.19165606079567768,0.01670263265126895,2,3286
3240,0.23761962207333506,0.2317007156255341,0.0059189064478009645,3,3259
3245,0.24926337285750025,0.24682256144040263,0.0024408114170976214,0,3278
3250,0.23115356736327333,0.22592463340350918,0.005228933959764148,1,3277
3255,0.22416966732807903,0.21866878546134927,0.0055008818667297565,2,3292
3260,0.2513073044056291,0.26535187210465444,-0.014044567699025345,3,3266
3265,0.1528327456490234,0.15209829436344524,0.0007344512855781693,0,3285
3270,0.134963259030877,0.11353107429780493,0.02143218473307207,1,3279
3275,0.139090579109062,0.07144010107508197,0.06765047803398003,2,3296
3280,0.2304318742743178,0.18135538581561086,0.049076488458706935,3,3271
3285,0.22028367909998672,0.20398579008154968,0.01629788901843704,0,3291
3290,0.24610058109072305,0.20341383745965563,0.04268674363106742,1,3284
3295,0.10909582154359156,0.06310075453448341,0.045995067009108145,2,3304
3300,0.3064105273917802,0.2366035191828471,0.0698070082089331,3,3284
3305,0.4426308729354671,0.4278321146138425,0.014798758321624583,0,3300
3310,0.3657007363029267,0.30952930834257825,0.05617142796034846,1,3290
3315,0.25549621384670396,0.2276690578095271,0.027827156037176864,2,3309
3320,0.18639580470740824,0.15919752878291055,0.027198275924497695,3,3295
3325,0.04204458140713297,0.04007820711429766,0.0019663742928353115,0,3308
3330,0.1327638365009175,0.1519004066066803,-0.019136570105762807,1,3299
3335,0.14885989838101737,0.13018851765822637,0.01867138072279101,2,3320
3340,0.15244941912071885,0.13547103782574513,0.016978381294973727,3,3311
3345,0.30926990059009357,0.30310801207018945,0.006161888519904124,0,3319
3350,0.17516200593115555,0.16195067090103707,0.013211335030118482,1,3340
3355,0.20831086850454678,0.2024946969977919,0.005816171506754869,2,3357
3360,0.27486807272852265,0.2662902591756159,0.008577813552906766,3,3351
3365,0.23905280458335398,0.2562746375694221,-0.01722183298606811,0,3360
3370,0.09015849167553491,0.07473280439365997,0.015425687281874947,1,3353
3375,0.05467453545173433,0.029239254296515218,0.02543528115521911,2,3374
3380,0.0658214616075254,0.05540812894619705,0.01041333266132835,3,3360
3385,-0.06632857897702345,-0.07600753397988379,0.00967895500286034,0,3371
