day_position,rankic_F,rankic_H,delta,phase,n
2680,0.1407321657645935,0.12559321401712456,0.015138951747468932,3,1850
2685,0.25877612040251297,0.2303600743486357,0.028416046053877264,0,1853
2690,0.18981219801151863,0.15950472822867673,0.030307469782841906,1,1890
2695,0.2772929830001111,0.25489855398712474,0.022394429012986383,2,1896
2700,0.28365195209273186,0.27881250796636803,0.004839444126363834,3,1890
2705,0.22198748719596534,0.24762184059869777,-0.02563435340273243,0,1902
2710,0.22966095959227198,0.1322674882100925,0.09739347138217949,1,1931
2715,0.23769927324322787,0.11687205306933056,0.12082722017389731,2,1952
2720,0.020481865486301563,-0.1618787075637465,0.18236057305004807,3,1945
2725,0.0705216754919954,-0.05259125502064609,0.1231129305126415,0,1945
2730,0.032040104393352566,0.0204811513658241,0.011558953027528466,1,1985
2735,0.08228712461038637,0.05877674293493838,0.023510381675447993,2,2008
2740,0.0628472023412805,0.04463214893200505,0.018215053409275442,3,1993
2745,0.14717073605409986,0.152627050013611,-0.005456313959511128,0,2000
2750,0.11645929519438705,0.1144510813257513,0.0020082138686357554,1,2034
2755,0.07590452802565646,0.07311501569887796,0.002789512326778501,2,2059
2760,0.04156275213943087,0.01837271128687444,0.02319004085255643,3,2041
2765,0.0521025836557097,0.038502292596289615,0.013600291059420087,0,2033
2770,0.0070544671700248345,-0.02019082072613886,0.027245287896163692,1,2068
2775,0.09637722735516834,0.0635614042844791,0.03281582307068924,2,2095
2780,0.0818185042119576,0.06704512983454756,0.01477337437741004,3,2083
2785,0.10733983462522496,0.10508264316279152,0.0022571914624334444,0,2090
2790,0.19157624146214383,0.20623940986843248,-0.014663168406288646,1,2132
2795,0.10092003041664036,0.18803228006408562,-0.08711224964744527,2,2166
2800,0.1609958082000053,0.20550924335016624,-0.04451343515016093,3,2157
2805,0.15132454620687688,0.18428064755936077,-0.03295610135248389,0,2168
2810,0.05705179842922264,0.0788144570443622,-0.02176265861513956,1,2202
2815,0.027673056699934473,0.05028938581544819,-0.022616329115513714,2,2234
2820,0.22147548676348802,0.21992130840628407,0.0015541783572039503,3,2229
2825,0.17757055881560538,0.1604511747093332,0.017119384106272173,0,2223
2830,0.16469672781478273,0.1560442764862963,0.008652451328486438,1,2258
2835,0.12328928777341654,0.13761483135717334,-0.014325543583756803,2,2284
2840,0.11261150452795664,0.13982650316346532,-0.027214998635508678,3,2290
2845,0.08469495026726628,0.09344171193957103,-0.008746761672304745,0,2289
2850,0.17787059509074482,0.20611217463613338,-0.028241579545388557,1,2326
2855,0.16785777542300434,0.1316924105880555,0.03616536483494884,2,2338
2860,0.14511940168070991,0.13924825074128935,0.005871150939420561,3,2338
2865,0.38549884307004983,0.3975618376997465,-0.012062994629696677,0,2347
2870,0.3701770831101794,0.31851388194383967,0.05166320116633971,1,2385
2875,0.13467818682877766,0.09955003773799649,0.03512814909078117,2,2402
2880,0.03742259700858516,-0.05188569112487076,0.08930828813345593,3,2404
2885,0.020813644809427902,-0.005103927115329902,0.025917571924757805,0,2425
2890,0.14024992758104413,0.12958299313863522,0.010666934442408904,1,2448
2895,0.12132200620329216,0.11854178087225427,0.002780225331037889,2,2458
2900,0.12275877874949682,0.08072609906425657,0.04203267968524026,3,2466
2905,0.1642040396660911,0.11705777330913404,0.04714626635695705,0,2488
2910,0.17520439295817017,0.15146050034649933,0.02374389261167084,1,2525
2915,0.20555976965063413,0.21285952036198635,-0.007299750711352221,2,2538
2920,0.10531915515062297,0.22523223571129924,-0.11991308056067627,3,2558
2925,-0.05186220213832861,0.06296609521492103,-0.11482829735324963,0,2580
2930,-0.14935434250552176,-0.0719542470755002,-0.07740009543002156,1,2597
2935,-0.08223125883118547,-0.06495997183734264,-0.017271286993842824,2,2602
2940,0.18611171884263342,0.20576408055308495,-0.019652361710451538,3,2622
2945,0.1180551761069745,0.13533537471298715,-0.017280198606012653,0,2645
2950,0.08986533260622809,0.07207347897099559,0.017791853635232502,1,2654
2955,0.1252578717920032,0.08773569848668188,0.03752217330532133,2,2649
2960,0.11625349205493483,0.09304291998047896,0.02321057207445587,3,2677
2965,0.21564128666569368,0.19744707796581193,0.018194208699881753,0,2706
2970,0.20778032806550595,0.19784002855839902,0.009940299507106926,1,2702
2975,0.26806524898726986,0.2535581463275298,0.014507102659740034,2,2698
2980,0.26047649996950484,0.23690500156461516,0.023571498404889674,3,2725
2985,0.23250338225977327,0.2077259399638374,0.02477744229593587,0,2755
2990,0.21736543178294937,0.18960404357466723,0.02776138820828214,1,2760
2995,0.17493967506566366,0.1485255941147245,0.026414080950939167,2,2754
3000,0.06902882654548602,0.025565665208287094,0.04346316133719892,3,2775
3005,0.23371992669525632,0.21630565674130303,0.017414269953953287,0,2806
3010,0.18408390473913963,0.17376847491616698,0.01031542982297265,1,2819
3015,0.27879260317371535,0.2647039900006574,0.014088613173057929,2,2813
3020,0.20294632855828504,0.19202742482124457,0.010918903737040464,3,2827
3025,0.2178278534568372,0.20294011489306024,0.014887738563776953,0,2860
3030,0.2546220590310917,0.22223925814741533,0.03238280088367637,1,2871
3035,0.23480770645220805,0.20973701297363365,0.025070693478574407,2,2862
3040,0.1288541266931387,0.11409828742834378,0.014755839264794915,3,2882
3045,0.10485541018129686,0.0923715252037079,0.012483884977588969,0,2907
3050,0.06912594914203184,0.05227998040281827,0.016845968739213568,1,2920
3055,0.19597960019502814,0.1804744508263302,0.01550514936869793,2,2920
3060,0.15560229899813496,0.11839383050846408,0.03720846848967088,3,2941
3065,0.3073538417884278,0.23494200889423306,0.07241183289419473,0,2970
3070,0.3890952130136554,0.34270398377340316,0.04639122924025224,1,2982
3075,0.2858256372456454,0.2526266516939731,0.03319898555167233,2,2973
3080,0.20384223800475934,0.20366329806986358,0.000178939934895761,3,2996
3085,0.22165586704785745,0.2015638841578031,0.020091982890054344,0,3029
3090,0.12475608710439877,0.14983071296111547,-0.0250746258567167,1,3036
3095,0.18027718139908588,0.18008790202943267,0.00018927936965321135,2,3032
3100,0.1072411896891032,0.10691561416654491,0.0003255755225582968,3,3057
3105,0.09174352457968189,0.086381402034792,0.005362122544889894,0,3084
3110,0.062060407190007175,0.03420624614148735,0.027854161048519822,1,3085
3115,0.1388138621210238,0.11348950009239644,0.025324362028627367,2,3081
3120,0.14101070852232842,0.10428870062157815,0.03672200790075027,3,3105
3125,0.25444362517536157,0.14402137516691074,0.11042225000845082,0,3118
3130,0.25456563867565146,0.20544989762469212,0.04911574105095934,1,3123
3135,0.21101842033750573,0.17641304193602564,0.03460537840148009,2,3121
3140,0.16993666058182902,0.10227224747051279,0.06766441311131623,3,3136
3145,0.18253634070248914,0.16699403194357107,0.015542308758918072,0,3147
3150,0.0271639826403028,-0.004157151657624412,0.03132113429792721,1,3159
3155,-0.011610261387671905,-0.03002002547613471,0.018409764088462805,2,3160
3160,0.06334558996384174,0.0063767896895028766,0.05696880027433886,3,3182
