day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock
2435,2017-01-06,2,K1,1447,0.1946860187535816,0.051761551407354195,0.032765081249332674,0.004455716058987193,0.028309365190345482,True,1430
2435,2017-01-06,2,last_epsilon,1447,-0.021705916738650397,-0.00456674983423808,-0.037881454732269046,0.004455716058987193,-0.04233717079125624,False,1430
2435,2017-01-06,2,negative_last_epsilon,1447,0.021705916738650397,0.00456674983423808,-0.026165982449310832,0.004455716058987193,-0.030621698508298024,False,1430
2435,2017-01-06,2,mean10_epsilon,1447,-0.14225554897879797,-0.03349766589326464,0.0026212942068620276,0.004455716058987193,-0.0018344218521251653,False,1430
2435,2017-01-06,2,negative_mean10_epsilon,1447,0.14225554897879797,0.03349766589326464,0.05782010506275886,0.004455716058987193,0.05336438900377166,False,1430
2440,2017-01-13,3,K1,1448,0.18090553708390839,0.05591128455358153,0.061232014349661766,0.0035217414472197947,0.05771027290244197,False,1430
2440,2017-01-13,3,last_epsilon,1448,0.17800743931982685,0.05711952090465881,-0.004864763996253411,0.0035217414472197947,-0.008386505443473205,False,1430
2440,2017-01-13,3,negative_last_epsilon,1448,-0.17800743931982685,-0.05711952090465881,-0.0898029733914882,0.0035217414472197947,-0.093324714838708,False,1430
2440,2017-01-13,3,mean10_epsilon,1448,-0.19991176597139118,-0.04215432444848726,-0.047609081398695706,0.0035217414472197947,-0.051130822845915504,False,1430
2440,2017-01-13,3,negative_mean10_epsilon,1448,0.19991176597139118,0.04215432444848726,0.07202689087716863,0.0035217414472197947,0.06850514942994883,False,1430
2445,2017-01-20,0,K1,1458,0.30484028214780806,0.09941682625917722,0.11876283146751423,0.004913740236775776,0.11384909123073846,True,1430
2445,2017-01-20,0,last_epsilon,1458,-0.06554814192119009,-0.03257709969525579,-0.07339570436937114,0.004913740236775776,-0.07830944460614692,False,1430
2445,2017-01-20,0,negative_last_epsilon,1458,0.06554814192119009,0.03257709969525579,0.019647581471751132,0.004913740236775776,0.014733841234975356,False,1430
2445,2017-01-20,0,mean10_epsilon,1458,-0.22416063442446282,-0.08843615446322506,-0.0834575509653708,0.004913740236775776,-0.08837129120214658,False,1430
2445,2017-01-20,0,negative_mean10_epsilon,1458,0.22416063442446282,0.08843615446322506,0.0919446575959834,0.004913740236775776,0.08703091735920762,False,1430
2450,2017-02-03,1,K1,1497,0.380719623162006,0.12753365815760903,0.16147944807695847,0.0003093954342716263,0.16117005264268683,True,1430
2450,2017-02-03,1,last_epsilon,1497,-0.06883956327868893,-0.028554034086250762,-0.05207213790466388,0.0003093954342716263,-0.05238153333893551,False,1430
