day_position,year,phase,n,rankic_F,rankic_STATE_VALUE_PLUS_E,rankic_E,rankic_BETA_RELIABILITY,rankic_BETA_ONLY,rankic_H,decile_F,decile_STATE_VALUE_PLUS_E,decile_E,decile_BETA_RELIABILITY,decile_BETA_ONLY,decile_H,top30_F,top30_STATE_VALUE_PLUS_E,top30_E,top30_BETA_RELIABILITY,top30_BETA_ONLY,top30_H,STATE_VALUE_PLUS_E_minus_E,decile_STATE_VALUE_PLUS_E_minus_E,top30_STATE_VALUE_PLUS_E_minus_E,F_minus_STATE_VALUE_PLUS_E,decile_F_minus_STATE_VALUE_PLUS_E,top30_F_minus_STATE_VALUE_PLUS_E,BETA_ONLY_minus_H,decile_BETA_ONLY_minus_H,top30_BETA_ONLY_minus_H,BETA_RELIABILITY_minus_BETA_ONLY,decile_BETA_RELIABILITY_minus_BETA_ONLY,top30_BETA_RELIABILITY_minus_BETA_ONLY,E_minus_BETA_RELIABILITY,decile_E_minus_BETA_RELIABILITY,top30_E_minus_BETA_RELIABILITY,F_minus_E,decile_F_minus_E,top30_F_minus_E,E_minus_H,decile_E_minus_H,top30_E_minus_H,F_minus_H,decile_F_minus_H,top30_F_minus_H
2680,2018,3,1850,0.1407321657645935,0.14491804926187984,0.141289517519608,0.13460966042629027,0.11185325937592432,0.12559321401712456,0.054972284663440285,0.05700246958640983,0.04748462819348001,0.051769777852333956,0.050163063381458754,0.04901660377957317,0.007775319458642525,0.004661686469914563,-0.0028135536512153368,-0.00011294595916862445,-0.011500855940978801,-0.0015530950566391925,0.0036285317422718455,0.00951784139292982,0.0074752401211299,-0.004185883497286352,-0.0020301849229695454,0.003113632988727962,-0.013739954641200244,0.0011464596018855855,-0.009947760884339608,0.022756401050365957,0.001606714470875202,0.011387909981810176,0.006679857093317726,-0.004285149658853946,-0.0027006076920467123,-0.0005573517550145068,0.007487656469960274,0.010588873109857861,0.01569630350248344,-0.001531975586093158,-0.0012604585945761443,0.015138951747468932,0.005955680883867116,0.009328414515281717
2685,2018,0,1853,0.25877612040251297,0.25857233775391825,0.27979570728939757,0.29658747190845103,0.3197901425344537,0.2303600743486357,0.13023265956797184,0.12952017899094515,0.12734712863795622,0.1261370988975663,0.15557629443088394,0.12102122558092043,0.07051622211088512,0.07403012278266026,0.045853672813870254,0.013735565838960549,0.041379186931001885,0.052852838145815074,-0.02122336953547932,0.0021730503529889256,0.028176449968790006,0.00020378264859471917,0.0007124805770266918,-0.003513900671775136,0.089430068185818,0.03455506884996351,-0.01147365121481319,-0.023202670626002675,-0.02943919553331764,-0.027643621092041337,-0.016791764619053462,0.0012100297403899174,0.0321181069749097,-0.0210195868868846,0.0028855309300156173,0.02466254929701487,0.049435632940761864,0.006325903057035787,-0.0069991653319448205,0.028416046053877264,0.009211433987051404,0.01766338396507005
2690,2018,1,1890,0.18981219801151863,0.19775191384384114,0.20092278036757588,0.2110903716490347,0.21294758292668067,0.15950472822867673,0.07825009291837604,0.0815223680477141,0.08132042518937616,0.07877572332126971,0.08824795793382224,0.06950271999766489,0.043932009995634354,0.0448109679185152,0.03150572512620004,0.0371008893289746,0.05143481328162861,0.05936019258700807,-0.0031708665237347444,0.000201942858337939,0.01330524279231516,-0.007939715832322503,-0.003272275129338059,-0.0008789579228808478,0.053442854698003944,0.018745237936157358,-0.007925379305379461,-0.0018572112776459593,-0.009472234612552533,-0.01433392395265401,-0.010167591281458832,0.0025447018681064443,-0.005595164202774561,-0.011110582356057247,-0.00307033227100012,0.012426284869434312,0.04141805213889915,0.01181770519171127,-0.02785446746080803,0.030307469782841906,0.00874737292071115,-0.01542818259137372
2695,2018,2,1896,0.2772929830001111,0.17446639706775982,0.27183273123841856,0.28299783201526185,0.28502777686316005,0.25489855398712474,0.09069583818650581,0.05452434866303217,0.09075212742747377,0.08545333003705005,0.09914133194979634,0.09399730139157256,0.052758471790457666,0.0403046784725805,0.05485175546731045,0.05083243918146183,0.04839839199409376,0.06655804331576318,-0.09736633417065874,-0.036227778764441596,-0.01454707699472995,0.1028265859323513,0.03617148952347364,0.012453793317877167,0.03012922287603531,0.0051440305582237805,-0.01815965132166942,-0.002029944847898202,-0.013688001912746287,0.002434047187368074,-0.011165100776843295,0.005298797390423715,0.0040193162858486176,0.005460251761692569,-5.6289240967954957e-05,-0.0020932836768527835,0.016934177251293814,-0.003245173964098791,-0.011706287848452727,0.022394429012986383,-0.003301463205066746,-0.013799571525305511
2700,2018,3,1890,0.28365195209273186,0.28722894464912807,0.2762843713502242,0.2574990157235431,0.2742194774725539,0.27881250796636803,0.09141002978109225,0.09950504081901815,0.09011615488740428,0.08298804921431593,0.09185118942172574,0.09627459188281107,0.05334210314064621,0.03383029096036553,0.06911605832219768,0.08817107732305327,0.04825229029068748,0.07251936736414233,0.010944573298903859,0.009388885931613869,-0.03528576736183215,-0.003576992556396208,-0.008095011037925898,0.019511812180280683,-0.004593030493814154,-0.0044234024610853295,-0.02426707707345485,-0.016720461749010762,-0.008863140207409803,0.03991878703236579,0.0187853556266811,0.007128105673088345,-0.019055019000855586,0.007367580742507651,0.0012938748936879713,-0.015773955181551468,-0.002528136616143817,-0.006158436995406788,-0.0034033090419446493,0.004839444126363834,-0.004864562101718817,-0.019177264223496117
2705,2018,0,1902,0.22198748719596534,0.220050403327631,0.20200986407999438,0.18390370265138312,0.212003780220972,0.24762184059869777,0.056846401974479176,0.05524410274121788,0.06095363746234828,0.05055115919400889,0.06631105976228259,0.06404129736015181,0.02131552962584463,0.02183959871528712,0.009644551988052,0.04411220809132523,0.0034828895485467413,0.05055553411131766,0.018040539247636628,-0.005709534721130401,0.012195046727235119,0.0019370838683343272,0.0016022992332612937,-0.0005240690894424901,-0.035618060377725774,0.0022697624021307816,-0.047072644562770924,-0.028100077569588877,-0.0157599005682737,0.04062931854277849,0.018106161428611267,0.010402478268339392,-0.03446765610327323,0.019977623115970955,-0.004107235487869107,0.011670977637792629,-0.045611976518703384,-0.0030876598978035255,-0.04091098212326566,-0.02563435340273243,-0.0071948953856726325,-0.029240004485473033
2710,2018,1,1931,0.22966095959227198,0.1623720523229366,0.1920441838989247,0.1944601149864411,0.22932246334991402,0.1322674882100925,0.09769458949675668,0.06808502459747795,0.05747716773242251,0.050723212152548186,0.07646176127995571,0.024417855345566848,0.08033801385582923,0.01614704959281908,0.03137286806860506,0.035050956051885476,0.05091706176048953,-0.005823260803074872,-0.02967213157598808,0.010607856865055443,-0.015225818475785979,0.06728890726933537,0.029609564899278726,0.06419096426301014,0.09705497513982153,0.052043905934388866,0.056740322563564406,-0.034862348363472906,-0.02573854912740753,-0.015866105708604056,-0.002415931087516421,0.006753955579874321,-0.003678087983280419,0.03761677569334729,0.04021742176433417,0.04896514578722417,0.059776695688832204,0.03305931238685566,0.03719612887167993,0.09739347138217949,0.07327673415118982,0.0861612746589041
2715,2018,2,1952,0.23769927324322787,0.19688822042119786,0.171388875665847,0.16943889588904099,0.2005933084445175,0.11687205306933056,0.10273519992225398,0.08657515678108514,0.07253333056041111,0.060141471237577016,0.06859466054578288,0.03284289250807025,0.08326543760488389,0.05403124692386595,0.029896183700014727,0.03364827261929668,0.03218611933603841,0.02014662426277953,0.025499344755350845,0.014041826220674028,0.02413506322385122,0.040811052822030014,0.01616004314116884,0.029234190681017944,0.08372125537518695,0.03575176803771263,0.012039495073258882,-0.03115441255547652,-0.008453189308205863,0.0014621532832582718,0.0019499797768060267,0.012391859322834098,-0.0037520889192819568,0.06631039757738086,0.030201869361842867,0.053369253904869164,0.054516822596516454,0.03969043805234086,0.009749559437235197,0.12082722017389731,0.06989230741418373,0.06311881334210437
2720,2018,3,1945,0.020481865486301563,-0.07357863601614562,-0.07079783721163585,-0.04940001609533974,-0.04000687633745432,-0.1618787075637465,-0.008909714872079913,-0.03309157234286534,-0.04709688634353632,-0.04576821982189677,-0.0392227784563072,-0.08523669033989396,0.003843864927425055,-0.013966271517131163,-0.04569390560030036,-0.018729735797535313,-0.006060999534046582,-0.12376474335629835,-0.0027807988045097654,0.014005314000670982,0.0317276340831692,0.09406050150244719,0.024181857470785426,0.01781013644455622,0.1218718312262922,0.046013911883586764,0.11770374382225177,-0.009393139757885423,-0.006545441365589572,-0.01266873626348873,-0.02139782111629611,-0.0013286665216395502,-0.026964169802765045,0.09127970269793742,0.03818717147145641,0.049537770527725414,0.09108087035211065,0.03813980399635764,0.07807083775599799,0.18236057305004807,0.07632697546781406,0.1276086082837234
2725,2018,0,1945,0.0705216754919954,0.0349450121140565,0.04884334687606346,0.054663591742192964,0.08309208305000665,-0.05259125502064609,0.02363626554592743,0.006617522829382671,0.0006311939589405575,0.010742724221739823,0.027747967394162448,-0.04043860815509856,0.02489855149490488,-0.011661958076279837,-0.028400221035104475,-0.005401398213179389,-0.008846130876711485,-0.02845107509714512,-0.013898334762006963,0.005986328870442113,0.016738262958824638,0.0355766633779389,0.017018742716544757,0.036560509571184716,0.13568333807065275,0.06818657554926101,0.019604944220433636,-0.028428491307813684,-0.017005243172422625,0.0034447326635320963,-0.005820244866129504,-0.010111530262799266,-0.022998822821925086,0.021678328615931934,0.02300507158698687,0.05329877253000935,0.10143460189670955,0.041069802114039114,5.085406204064641e-05,0.1231129305126415,0.06407487370102599,0.05334962659205
