decision_id,decision_date,year,decision_clock,replay_segment_id,eligible_count,selected_count,oracle_count,selected_oracle_overlap_count,selected_oracle_overlap_share,selected_mean_h20_return,oracle_mean_h20_return,selection_gap_mean_h20_return,selected_median_opportunity_rank
14:30:20110928,2011-09-28,2011,14:30,2011_2020,1192,30,30,3,0.10000000000000001,0.035575421981469256,0.29650942102144123,-0.260933999039972,454
14:45:20110928,2011-09-28,2011,14:45,2011_2020,1192,30,30,2,0.066666666666666666,0.045738217060101206,0.31654727881286698,-0.27080906175276576,428
14:30:20111012,2011-10-12,2011,14:30,2011_2020,1168,30,30,0,0,0.064466754849276942,0.30502518177000532,-0.24055842692072837,414
14:45:20111012,2011-10-12,2011,14:45,2011_2020,1167,30,30,0,0,0.062736212096047364,0.31225165288625151,-0.24951544079020416,429
14:30:20111019,2011-10-19,2011,14:30,2011_2020,1196,30,30,0,0,0.091829821285822205,0.32252677255502554,-0.23069695126920334,339.5
14:45:20111019,2011-10-19,2011,14:45,2011_2020,1196,30,30,0,0,0.082197811391070269,0.31864585967601955,-0.23644804828494928,358.5
14:30:20111026,2011-10-26,2011,14:30,2011_2020,1231,30,30,0,0,0.023022832862144366,0.25252617730969296,-0.22950334444754858,589.5
14:45:20111026,2011-10-26,2011,14:45,2011_2020,1231,30,30,0,0,0.020638871776747867,0.25855937563465592,-0.23792050385790806,590
14:30:20111102,2011-11-02,2011,14:30,2011_2020,1241,30,30,0,0,-0.084231738858875943,0.14884511303947551,-0.23307685189835145,850
14:45:20111102,2011-11-02,2011,14:45,2011_2020,1239,30,30,0,0,-0.076044194121723058,0.16353510199178176,-0.23957929611350481,814
14:30:20111109,2011-11-09,2011,14:30,2011_2020,1199,30,30,0,0,-0.11229102252590699,0.11172212320788565,-0.22401314573379263,745
14:45:20111109,2011-11-09,2011,14:45,2011_2020,1199,30,30,0,0,-0.11725526141362182,0.10074996290401556,-0.21800522431763736,749
14:30:20111116,2011-11-16,2011,14:30,2011_2020,1221,30,30,0,0,-0.18193435661060645,0.051494811654566791,-0.23342916826517324,776
14:45:20111116,2011-11-16,2011,14:45,2011_2020,1221,30,30,1,0.033333333333333333,-0.18232742819462233,0.052836166689530624,-0.23516359488415295,772.5
