year,decision_clock,replay_segment_id,decision_count,mean_eligible_count,mean_selected_oracle_overlap_share,mean_selected_h20_return,mean_oracle_h20_return,mean_selection_gap_h20_return,median_selected_opportunity_rank
2011,14:30,2011_2020,33,694.93939393939399,0.08484848484848484,-0.034776128097874622,0.15968182788601062,-0.19445795598388524,285.5
2011,14:45,2011_2020,33,694.63636363636363,0.080808080808080801,-0.034562396134228755,0.16043028942982215,-0.19499268556405092,282.5
2012,14:30,2011_2020,49,1394.6938775510205,0.035374149659863949,0.014781839232864646,0.29628131025077692,-0.28149947101791228,693.5
2012,14:45,2011_2020,49,1394.2244897959183,0.036734693877551024,0.014197206469545266,0.29597095566680459,-0.28177374919725934,718
2013,14:30,2011_2020,47,1644.8085106382978,0.02198581560283688,0.017954119499099648,0.40788310858265997,-0.38992898908356033,835.5
2013,14:45,2011_2020,47,1644.1914893617022,0.020567375886524821,0.017185891495517754,0.4067764945323229,-0.38959060303680515,820.5
2014,14:30,2011_2020,49,1432.4285714285713,0.029251700680272108,0.037506397615753959,0.39605193126161281,-0.35854553364585889,725.5
2014,14:45,2011_2020,49,1431.4897959183672,0.027891156462585033,0.03703657555844754,0.39563517709539708,-0.35859860153694956,745.5
2015,14:30,2011_2020,49,909.67346938775506,0.040136054421768708,0.051120151298021672,0.45979272259854354,-0.40867257130052193,407
2015,14:45,2011_2020,49,907.24489795918362,0.038095238095238099,0.052122109443126674,0.4588592946477365,-0.40673718520460983,398
2016,14:30,2011_2020,49,986.69387755102036,0.021768707482993196,-0.00026916100519236159,0.27713429160863168,-0.27740345261382404,536
2016,14:45,2011_2020,49,985.91836734693879,0.019047619047619049,-0.00126624762004995,0.2764472839259145,-0.27771353154596445,502
2017,14:30,2011_2020,49,1510.8571428571429,0.019727891156462587,-0.0097370579894307148,0.29126770908452815,-0.3010047670739589,777
2017,14:45,2011_2020,49,1510.6122448979593,0.023129251700680271,-0.0087888448429566408,0.28999088756279484,-0.29877973240575151,761.5
2018,14:30,2011_2020,48,1863.2916666666667,0.015277777777777777,-0.03351544025869322,0.30687102702695762,-0.34038646728565086,1025
2018,14:45,2011_2020,48,1863.125,0.018055555555555557,-0.033287055175431506,0.30658749942738506,-0.33987455460281657,1019.5
2019,14:30,2011_2020,49,2385.4897959183672,0.012244897959183673,0.029512198290819941,0.52088662606530522,-0.49137442777448526,1131
2019,14:45,2011_2020,49,2384.408163265306,0.010884353741496598,0.026737091383961679,0.51996762823075848,-0.49323053684679674,1200.5
2020,14:30,2011_2020,49,2706.408163265306,0.014285714285714285,0.0069937454930315644,0.65154172096760454,-0.64454797547457299,1449.5
2020,14:45,2011_2020,49,2704.204081632653,0.014285714285714285,0.0080774864935113481,0.64705681771699131,-0.63897933122347994,1487
2021,14:30,2021_2026,48,2905.2708333333335,0.014583333333333332,0.029703697666685087,0.72753337692713238,-0.69782967926044737,1404
2021,14:45,2021_2026,48,2904,0.015277777777777777,0.029126578328137021,0.72538296849094974,-0.69625639016281271,1410.25
2022,14:30,2021_2026,49,3268.3673469387754,0.012244897959183673,0.016444670322248136,0.60459015144962802,-0.58814548112737997,1471
2022,14:45,2021_2026,49,3267.3265306122448,0.0081632653061224497,0.016613267007085313,0.60283656856542811,-0.58622330155834279,1485.5
2023,14:30,2021_2026,48,3666.625,0.0069444444444444441,-0.016083621053763587,0.5521160202331451,-0.5681996412869087,2146.25
2023,14:45,2021_2026,48,3666.1875,0.0062499999999999995,-0.016948809334909987,0.55107879070410604,-0.56802760003901598,2171.25
2024,14:30,2021_2026,48,3947.1875,0.014583333333333332,0.030119219784499131,0.71734854763919298,-0.68722932785469382,2061.5
2024,14:45,2021_2026,48,3945.5,0.013888888888888888,0.028897396706276644,0.71250738806321579,-0.68360999135693901,1995.5
2025,14:30,2021_2026,49,4069.8367346938776,0.0068027210884353739,0.048349432680809858,0.82070425264280533,-0.77235481996199551,1735.5
2025,14:45,2021_2026,49,4068.4489795918366,0.0068027210884353739,0.046169851235006526,0.81988593863235615,-0.77371608739734954,1945.5
2026,14:30,2021_2026,27,4124.9259259259261,0.011111111111111112,-0.021223152050558261,0.78679175555406033,-0.80801490760461858,2363.5
2026,14:45,2021_2026,27,4124.2222222222226,0.009876543209876543,-0.020890592729421627,0.78544306955038301,-0.80633366227980474,2322.5
