year,decision_clock,replay_segment_id,component_group,simple_contribution_sum,linked_log_contribution,row_count
2011,14:30,2011_2020,index,-0.5576231930547253,-0.5780363804897245,5768
2011,14:30,2011_2020,industry,0.051093765877610699,0.050693506966740617,5768
2011,14:30,2011_2020,other,0.23884333597224883,0.23411072606133698,5801
2011,14:30,2011_2020,size,-0.056201523899767659,-0.055947941804428351,5768
2011,14:45,2011_2020,index,-0.54921948097645434,-0.56906023325438171,5764
2011,14:45,2011_2020,industry,0.044179726629625868,0.043798723990801591,5764
2011,14:45,2011_2020,other,0.24617917826457769,0.24173255072598243,5797
2011,14:45,2011_2020,size,-0.052252210386175182,-0.052136575482543045,5764
2012,14:30,2011_2020,index,0.078099163690107637,0.050484574365387683,8708
2012,14:30,2011_2020,industry,0.02656245217698797,0.024257248976056557,8708
2012,14:30,2011_2020,other,0.039404337599845081,0.032863361708193727,8757
2012,14:30,2011_2020,size,-0.06092225211289052,-0.061001841752729699,8708
2012,14:45,2011_2020,index,0.096809641806252802,0.068455853326063715,8713
2012,14:45,2011_2020,industry,0.031860999628918557,0.029541521423664757,8713
2012,14:45,2011_2020,other,-0.037708917669490173,-0.043796712262218443,8762
2012,14:45,2011_2020,size,-0.060461177937767965,-0.060511183464310038,8713
2013,14:30,2011_2020,index,0.19047335107109731,0.1677720809802529,8502
2013,14:30,2011_2020,industry,-0.011459803074442094,-0.01265550225878247,8502
2013,14:30,2011_2020,other,0.16303480540455248,0.15626521428320753,8549
2013,14:30,2011_2020,size,-0.040994001599800954,-0.041531841928011064,8502
2013,14:45,2011_2020,index,0.18587627118190705,0.16212805628579915,8501
2013,14:45,2011_2020,industry,-0.023116762947223757,-0.024182761059951711,8501
2013,14:45,2011_2020,other,0.17551967517296296,0.169218444562003,8548
2013,14:45,2011_2020,size,-0.055101834263499294,-0.055518558644727878,8501
2014,14:30,2011_2020,index,0.24815504902041705,0.23415069557660639,8702
2014,14:30,2011_2020,industry,-0.024409029139615117,-0.025159155173081097,8702
2014,14:30,2011_2020,other,0.17441399307260733,0.16302159819431433,8751
2014,14:30,2011_2020,size,0.012185569497570558,0.011580232537706488,8702
2014,14:45,2011_2020,index,0.2649092167832332,0.25025580680603926,8701
2014,14:45,2011_2020,industry,-0.01501767933898911,-0.015870307567049435,8701
2014,14:45,2011_2020,other,0.10301143395571893,0.092434514456029265,8750
2014,14:45,2011_2020,size,0.014903529160478568,0.014611405399946563,8701
2015,14:30,2011_2020,index,1.1165811486041022,1.0474393513683464,8558
2015,14:30,2011_2020,industry,-0.052906688595286216,-0.054029329105981135,8558
2015,14:30,2011_2020,other,-0.24827927179253137,-0.26946348925948693,8607
2015,14:30,2011_2020,size,-0.19954983723742081,-0.20659369434195995,8558
2015,14:45,2011_2020,index,1.1194674293535958,1.0495829603663551,8548
2015,14:45,2011_2020,industry,-0.064496623316196391,-0.065905060352901501,8548
2015,14:45,2011_2020,other,-0.23623819475329644,-0.25570758976880242,8597
2015,14:45,2011_2020,size,-0.19609002134292225,-0.20307324094652848,8548
2016,14:30,2011_2020,index,-0.10197540852161208,-0.13790435767124579,8723
2016,14:30,2011_2020,industry,-0.003926232754293422,-0.0061861486434079188,8723
2016,14:30,2011_2020,other,-0.094811296813181456,-0.10954536009993239,8772
2016,14:30,2011_2020,size,-0.0095091125226041476,-0.0092537703508914059,8723
2016,14:45,2011_2020,index,-0.082168504722086172,-0.11914659674762321,8694
2016,14:45,2011_2020,industry,-0.011779656833267635,-0.014033126792988904,8694
2016,14:45,2011_2020,other,-0.12215971507346748,-0.13639187943066203,8743
