clock,day_position,n,h_ic,h_spread,h_top30_excess
1430,2435,1447,0.19772731873033025,0.05265529239406735,0.030841090141265032
1430,2440,1448,0.1712416321208126,0.054599999696620216,0.07084311031718349
1430,2445,1458,0.26978629397808523,0.0915198296242532,0.11445896896735658
1430,2450,1497,0.3212506091121766,0.10834723153079691,0.14568389286169275
1430,2455,1491,0.3232639096002181,0.11488865311167691,0.10013903780716592
1430,2460,1487,0.19669175379612458,0.08477929265398022,0.08441033895867844
1430,2465,1503,0.05522503454246406,0.034522227972435454,0.04435020981042459
1430,2470,1551,0.05178772644930534,0.01817698430123499,0.024328701123713645
1430,2475,1536,0.14229213803999488,0.05919017290732263,0.022594256063402443
1430,2480,1541,0.14669592449814298,0.06272226586135092,0.013578529459492282
1430,2485,1554,0.07808807902517205,0.04423957528591517,0.00945807069886189
1430,2490,1592,-0.0011552358230499217,0.020984912539558462,0.0006453546510000732
1430,2495,1579,0.16932821197835785,0.06339079517334296,0.02932630160618091
1430,2500,1576,0.019459384979088057,-0.002742322046954072,0.02830033628557898
1430,2505,1589,-0.08654905375172875,-0.03069349339886132,-0.007760711937309724
1430,2510,1628,0.06822105058384803,0.06337651244708176,0.07369585577503052
1430,2515,1613,0.13223820688756377,0.10069800433174922,0.05989037913940158
1430,2520,1608,0.22108890674666198,0.11681384935873211,0.04922670406582879
1430,2525,1614,0.1601193190840917,0.06590005260858228,0.01673708811444177
1430,2530,1660,0.17234987424704612,0.07728030443446099,0.03406806463706335
1430,2535,1656,0.1218325395116097,0.059446610983992065,0.025325842598716047
1430,2540,1641,0.15369182799781395,0.07895363848045946,0.04749689205244085
1430,2545,1641,0.1985827123454595,0.10768126196197089,0.041346850176137984
1430,2550,1682,0.18367162832395312,0.08602155321464774,0.044087660643507005
1430,2555,1680,0.16701845278276442,0.05954389563045143,0.08287998973949989
1430,2560,1688,0.169978951810797,0.06639389008515059,0.05788750390826445
1430,2565,1683,0.2571360662783087,0.08938360178893033,0.03409233377282464
1430,2570,1730,0.3167845461088321,0.11095243326463666,0.028145498782769927
1430,2575,1733,0.14527731008295933,0.034148910153059576,0.012191955221829578
1430,2580,1724,0.03445856219810715,0.016206141317102157,0.03732490885867434
1430,2585,1732,0.059270007341410164,0.03961054817239271,0.033278596947576705
1430,2590,1774,0.06646147078864688,0.030409105128337666,-0.0071985921791415785
1430,2595,1769,0.14838841637177555,0.07061296740241893,0.029851365482572403
1430,2600,1758,0.20442369864011123,0.10290989692568214,0.05834156589034271
1430,2605,1764,0.27165316278715834,0.10099107483719391,0.037464795587980035
1430,2610,1797,0.2894362339749685,0.09606801465187798,0.07320662581748372
1430,2615,1808,0.15431951117775664,0.05655660670664575,0.0341116828703175
1430,2620,1800,0.048778419074648985,0.007835660792544432,0.02371310731939957
1430,2625,1813,0.01079266109786262,-0.004535579748481015,0.00882610500567866
