clock,scope,year,phase,days,mean_decile_spread_F,mean_decile_spread_H,mean_decile_spread_delta,median_decile_spread_delta,decile_spread_win_days,mean_top30_minus_universe_F,mean_top30_minus_universe_H,mean_top30_minus_universe_delta,median_top30_minus_universe_delta,top30_minus_universe_win_days
1430,all,,,142,0.07339043937151538,0.06420473787819257,0.009185701493322807,0.007377327174276593,104,0.042858118625030965,0.028957269319753457,0.013900849305277508,0.0101574448402971,100
1430,year,2018,,48,0.060340851058170115,0.05239812528052042,0.007942725777649703,0.004254943062938846,28,0.04915942078278832,0.04052308585138641,0.008636334931401911,0.0030364018108230036,28
1430,year,2019,,49,0.067532800706563,0.06119311579278979,0.006339684913773212,0.00954412929861112,41,0.045678519099188936,0.033043729070179544,0.012634790029009385,0.011953892190164572,37
1430,year,2020,,45,0.09368831789647623,0.08007777980870369,0.013610538087772567,0.008546351408208953,35,0.033065626918228896,0.01217069773554767,0.02089492918268122,0.01594900203247865,35
1430,phase,,0,36,0.07619436322799795,0.06935516735604103,0.006839195871956929,0.00733503075403541,27,0.041816373576534976,0.03308957913415532,0.008726794442379658,0.010000352932062619,24
1430,phase,,1,35,0.07429605815832296,0.06464396147182556,0.009652096686497386,0.00874737292071115,25,0.0417563201185283,0.029007623307219576,0.01274869681130873,0.007846148793275158,25
1430,phase,,2,35,0.06909618881024866,0.05798166005658171,0.011114528753666957,0.008546351408208953,25,0.04849038171244577,0.03227826172261898,0.016212119989826794,0.007056056894361971,23
1430,phase,,3,36,0.07388101862909033,0.06467750001087817,0.00920351861821215,0.0064634763334581215,27,0.03949524533097349,0.02154726162586251,0.017947983705110984,0.01418338377843611,28
1445,all,,,142,0.07287564290316209,0.062058626251464126,0.010817016651697965,0.008243107966232382,109,0.043618899859547006,0.02603194833439376,0.017586951525153247,0.013553449139969115,104
1445,year,2018,,48,0.05961586051634018,0.050023178783298074,0.009592681733042107,0.0038605063939548302,32,0.049484497498282716,0.04062593069090212,0.0088585668073806,0.00037358940268556254,24
1445,year,2019,,49,0.06774171046204851,0.06064756676109002,0.007094143700958495,0.008546429918534423,41,0.04487842387108716,0.026387558539918674,0.018490865331168484,0.020251236855983734,42
1445,year,2020,,45,0.0926096927738736,0.07643292388480419,0.016176768889069413,0.012205963563466593,36,0.03599078067677407,0.01007781381921326,0.0259129668575608,0.017897172164521177,38
1445,phase,,0,36,0.07447738586676378,0.06755074551449115,0.006926640352272647,0.0076315205746859995,26,0.041704008649412615,0.03014840711759668,0.011555601531815934,0.008980293176136918,26
1445,phase,,1,35,0.07347124652713405,0.06193302559531501,0.011538220931819035,0.008812243508893439,27,0.04246209758792297,0.02602960803688333,0.01643248955103965,0.01287067144488295,25
1445,phase,,2,35,0.0694902913170494,0.05527416744158871,0.014216123875460673,0.008438336883228426,29,0.051050303556760344,0.03136601726322548,0.019684286293534872,0.017258216549331934,26
1445,phase,,3,36,0.07398615490275279,0.06328462035818322,0.01070153454456961,0.005757196179560863,27,0.03943348412813622,0.01673186449296181,0.02270161963517441,0.018530688505173504,27
