day_position,F_minus_E,E_minus_H,F_minus_H
2680,-0.0002153245407154,0.0197325365671621,0.01951721202644675
2685,-0.02449006176600515,0.05731028955781135,0.032820227791806156
2690,-0.01579512134807315,0.044612565882008154,0.02881744453393495
2695,0.0044273280675498,0.0183773287613411,0.0228046568288909
2700,0.00782864196596175,-0.00830478515753195,-0.00047614319157015
2705,0.0186971464992529,-0.04830692952188605,-0.0296097830226331
2710,0.0456425753570787,0.0595734737945051,0.10521604915158381
2715,0.07954967026750055,0.05341072024014025,0.1329603905076409
2720,0.0927303512010739,0.09700171061378285,0.18973206181485675
2725,0.02238402031343495,0.09523193052246476,0.11761595083589975
2730,-0.047082757930271654,0.06123699293685475,0.0141542350065831
2735,-0.00611658352320325,0.0323450740466841,0.026228490523480752
2740,0.00331114321551885,0.01446632164111595,0.01777746485663485
2745,0.012702249065964401,-0.01802453356772055,-0.0053222845017561
2750,0.00646054092894985,-0.0015589470838689998,0.00490159384508085
2755,0.0102552559012522,-0.0037218470920164,0.0065334088092358494
2760,0.01656652827225445,0.00726422757393925,0.02383075584619375
2765,0.0179777906688612,-0.0026760687154574,0.015301721953403801
2770,0.0248143212351397,0.0057159716803604,0.0305302929155001
2775,0.0129047559965195,0.01914429130633435,0.0320490473028539
2780,0.0004421825845820999,0.0134516456388604,0.013893828223442501
2785,-0.0067557159922839,0.0070499852969553006,0.00029426930467145007
2790,0.0027620663781403,-0.0176613384891494,-0.014899272111009151
2795,-0.05806675887891965,-0.039298582586087205,-0.09736534146500685
2800,-0.0286405915501693,-0.023393856687648852,-0.05203444823781825
2805,0.0061863783861728,-0.044630442020505104,-0.038444063634332296
2810,-0.0006463177141511002,-0.02175549321680975,-0.0224018109309609
2815,0.01645370139694,-0.035983348214312996,-0.0195296468173729
2820,0.047168294255263046,-0.0428617165659676,0.00430657768929535
2825,0.0255532290086519,-0.0033776221001534505,0.0221756069084985
2830,0.0240682492704468,-0.012561889983076651,0.0115063592873701
2835,0.015703797078561697,-0.02471503862481705,-0.0090112415462553
2840,0.0047011045157765,-0.024837664619891002,-0.020136560104114402
2845,-0.0035934701300282005,-0.00781351620773145,-0.0114069863377597
2850,0.0032662824255648,-0.03013979856869325,-0.02687351614312835
2855,0.01201385716875275,0.025055555335391548,0.03706941250414435
2860,0.01474801568573505,-0.0075001676920015,0.0072478479937335
2865,-0.0168760058235635,0.0035798405215768502,-0.013296165301986549
2870,0.0348902674611037,0.0236001088613493,0.058490376322453096
2875,-0.019147622732016797,0.058642775945548495,0.0394951532135316
2880,0.047434552034340605,0.05405042500800135,0.101484977042342
2885,0.015852744574847852,0.0170760188139034,0.03292876338875135
2890,0.0093010869262598,-0.0005553614507594001,0.0087457254755004
2895,0.0168237087427945,-0.0156632860867094,0.0011604226560851
2900,-0.009569074975834299,0.05128943255629515,0.04172035758046075
2905,0.01795045619656195,0.0336455632461842,0.051596019442746194
2910,0.01863907210032965,0.00985046972761755,0.02848954182794725
2915,0.0070340952997075,-0.01479944609988245,-0.00776535080017485
2920,-0.06513209157872404,-0.0727761727249034,-0.13790826430362751
2925,-0.06195068855534415,-0.06666040143667155,-0.12861108999201576
2930,-0.03761099483180855,-0.049982847302125696,-0.08759384213393435
2935,0.035865451761438696,-0.055800268124102353,-0.01993481636266365
2940,-0.00560476986971685,-0.01365786788037975,-0.0192626377500967
2945,2.4880251526650005e-05,-0.0134941190352252,-0.0134692387836986
2950,0.021073656361048798,0.0021722589654450002,0.02324591532649385
2955,0.011849631163269451,0.0325377911947811,0.0443874223580506
2960,0.00942056486420265,0.024876738753781998,0.0342973036179847
2965,0.0165146236326607,0.0059647580105531,0.02247938164321385
2970,0.0034424787917368997,0.01082193502362545,0.014264413815362451
2975,0.0095208172805286,0.00708206480309635,0.01660288208362505
2980,0.0039713005782887004,0.01613368205170695,0.020104982629995702
2985,0.00101337199916885,0.02287080945680825,0.0238841814559771
2990,-0.0102405227522943,0.03396488545202885,0.02372436269973445
2995,-0.004845564686037251,0.03149101809501805,0.02664545340898075
3000,0.008293339250935599,0.03529418510241025,0.0435875243533459
3005,-0.00886129239158245,0.02780782106072545,0.018946528669142898
3010,0.00010620326726234997,0.009449600349393149,0.00955580361665545
3015,0.0018033285022914,0.01049772692408395,0.012301055426375399
3020,-0.00338716850389855,0.01527144879630765,0.011884280292409049
3025,-0.0054586258919938,0.0222435135185787,0.0167848876265848
3030,-0.0048426605649150994,0.03979071006814465,0.03494804950322945
3035,-0.010626981633131301,0.038001023491584296,0.027374041858452998
3040,-0.020164790799461,0.03829886256229475,0.01813407176283365
3045,-0.00500337010368915,0.0215183724370735,0.01651500233338425
3050,-0.0011915405751449,0.020494630946351948,0.01930309037120705
3055,0.00340554921722555,0.01269990787611895,0.01610545709334455
3060,0.0189499797423222,0.020706458370224702,0.039656438112547
3065,0.04133254752273245,0.03450692445724235,0.0758394719799749
3070,0.01301034489160275,0.035051826988810306,0.048062171880413146
3075,-0.0008134819396861712,0.03758592714812105,0.036772445208434854
3080,0.0236757203597837,-0.02658995121712595,-0.0029142308573423
3085,0.018461154511195052,0.0018275538842666,0.0202887083954617
3090,0.0038982942261885,-0.03507845802635705,-0.03118016380016855
3095,0.046084487187814396,-0.04433721624202355,0.0017472709457908
3100,0.04120410490403935,-0.0370645160516906,0.00413958885234865
3105,0.0601661820846251,-0.0530855306341832,0.00708065145044185
3110,0.036426800892056604,-0.0070251328671477,0.02940166802490885
3115,0.03028854313325935,-0.0058224803945783,0.024466062738681002
3120,0.0147981494907859,0.0227739552781299,0.0375721047689158
3125,0.0341971122603881,0.0821012680088127,0.11629838026920085
3130,0.018209844092131,0.034460343572655,0.052670187664786
3135,0.04534602642481605,-0.007888504198203,0.03745752222661295
3140,0.06445986484072685,0.00400847072883515,0.068468335569562
3145,0.04500393384208315,-0.0288936317850025,0.01611030205708065
3150,0.03206199323309395,0.0065285488598616995,0.038590542092955746
3155,-0.007614115909779,0.0322044203607616,0.02459030445098255
3160,-0.00836494271523195,0.05973104554136445,0.0513661028261324
3165,-0.01723700026167175,0.06965801570958645,0.05242101544791465
3170,-0.0399777327278582,0.10643291148166309,0.06645517875380486
3175,-0.006407594470602599,0.1008669747566133,0.0944593802860106
